county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"City of Holland, Ward 3, Precinct 7",State Senate,31,Kim S. Nagy,DEM,263,151,414
Ottawa,"City of Holland, Ward 3, Precinct 7",State Senate,31,Roger Victory,REP,243,111,354
Ottawa,"City of Holland, Ward 3, Precinct 7",State Senate,31,Jessica L. Fox,LIB,24,8,32
Ottawa,"City of Holland, Ward 3, Precinct 7",State Senate,31,Cast Votes:,,530,270,800
Ottawa,"City of Holland, Ward 3, Precinct 7",State Senate,31,Undervotes:,,25,7,32
Ottawa,"City of Holland, Ward 3, Precinct 7",State Senate,31,Overvotes:,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 7",State Senate,31,Rejected write-in votes:,,1,0,1
Ottawa,"City of Holland, Ward 3, Precinct 7",State Senate,31,Unresolved write-in votes:,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 7",State House,86,Larry D. Jackson,DEM,256,150,406
Ottawa,"City of Holland, Ward 3, Precinct 7",State House,86,Nancy De Boer,REP,275,119,394
Ottawa,"City of Holland, Ward 3, Precinct 7",State House,86,Cast Votes:,,531,269,800
Ottawa,"City of Holland, Ward 3, Precinct 7",State House,86,Undervotes:,,24,8,32
Ottawa,"City of Holland, Ward 3, Precinct 7",State House,86,Overvotes:,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 7",State House,86,Rejected write-in votes:,,1,0,1
Ottawa,"City of Holland, Ward 3, Precinct 7",State House,86,Unresolved write-in votes:,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 7",State House,86,,,,,
Ottawa,"City of Holland, Ward 3, Precinct 7",State House,86,Pamela Pugh,DEM,252,163,415
Ottawa,"City of Holland, Ward 3, Precinct 7",State House,86,Mitchell Robinson,DEM,225,155,380
Ottawa,"City of Holland, Ward 3, Precinct 7",State House,86,Tamara D. Carlone,REP,229,97,326
Ottawa,"City of Holland, Ward 3, Precinct 7",State House,86,Linda Lee Tarver,REP,213,94,307
Ottawa,"City of Holland, Ward 3, Precinct 7",State House,86,Donna Gundle-Krieg,LIB,23,0,23
Ottawa,"City of Holland, Ward 3, Precinct 7",State House,86,Bill Hall,LIB,18,5,23
Ottawa,"City of Holland, Ward 3, Precinct 7",State House,86,Ethan Hobson,UST,12,3,15
Ottawa,"City of Holland, Ward 3, Precinct 7",State House,86,Mary Anne Hering,WC,27,3,30
Ottawa,"City of Holland, Ward 3, Precinct 7",State House,86,Cast Votes:,,999,520,1519
Ottawa,"City of Holland, Ward 3, Precinct 7",State House,86,Undervotes:,,112,34,146
Ottawa,"City of Holland, Ward 3, Precinct 7",State House,86,Overvotes:,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 7",State House,86,Rejected write-in votes:,,1,0,1
Ottawa,"City of Holland, Ward 3, Precinct 7",State House,86,Unresolved write-in votes:,,0,0,0
